CMDLINE /Library/Frameworks/Python.framework/Versions/3.11/bin/python3.11 server.py
MEM 0.117188 1692430258.5308
MEM 17.605469 1692430258.6361
MEM 21.894531 1692430258.7367
MEM 25.332031 1692430258.8373
MEM 28.382812 1692430258.9383
MEM 32.066406 1692430259.0424
MEM 32.691406 1692430259.1444
MEM 32.691406 1692430259.2489
MEM 32.691406 1692430259.3526
MEM 32.691406 1692430259.4566
MEM 32.691406 1692430259.5602
MEM 32.691406 1692430259.6644
MEM 32.691406 1692430259.7683
MEM 32.691406 1692430259.8728
MEM 32.691406 1692430259.9770
MEM 32.691406 1692430260.0815
MEM 32.691406 1692430260.1841
MEM 32.691406 1692430260.2851
MEM 32.691406 1692430260.3903
MEM 32.691406 1692430260.4938
MEM 32.691406 1692430260.5981
MEM 32.691406 1692430260.7026
MEM 32.691406 1692430260.8068
MEM 32.691406 1692430260.9080
MEM 32.691406 1692430261.0100
MEM 32.691406 1692430261.1114
MEM 32.691406 1692430261.2144
MEM 32.691406 1692430261.3190
MEM 32.691406 1692430261.4217
MEM 32.691406 1692430261.5262
MEM 32.691406 1692430261.6307
MEM 32.691406 1692430261.7328
MEM 32.691406 1692430261.8343
MEM 32.691406 1692430261.9372
MEM 32.691406 1692430262.0382
MEM 32.691406 1692430262.1433
MEM 32.691406 1692430262.2487
MEM 32.691406 1692430262.3532
MEM 32.691406 1692430262.4577
MEM 32.691406 1692430262.5618
MEM 32.691406 1692430262.6635
MEM 32.691406 1692430262.7644
MEM 32.691406 1692430262.8684
MEM 32.691406 1692430262.9697
MEM 32.691406 1692430263.0751
MEM 32.691406 1692430263.1804
MEM 32.691406 1692430263.2825
MEM 32.691406 1692430263.3879
MEM 32.691406 1692430263.4902
MEM 32.691406 1692430263.5910
MEM 32.691406 1692430263.6934
MEM 32.691406 1692430263.7987
MEM 32.691406 1692430263.9038
MEM 32.691406 1692430264.0068
MEM 32.691406 1692430264.1074
MEM 32.691406 1692430264.2113
MEM 32.691406 1692430264.3153
MEM 32.691406 1692430264.4196
MEM 32.691406 1692430264.5228
MEM 32.691406 1692430264.6265
MEM 32.691406 1692430264.7272
MEM 32.691406 1692430264.8282
MEM 32.691406 1692430264.9324
MEM 32.691406 1692430265.0360
MEM 32.691406 1692430265.1408
MEM 32.691406 1692430265.2460
MEM 32.691406 1692430265.3514
MEM 32.691406 1692430265.4556
MEM 32.691406 1692430265.5599
MEM 32.691406 1692430265.6636
MEM 32.691406 1692430265.7682
MEM 32.691406 1692430265.8720
MEM 32.691406 1692430265.9748
MEM 32.691406 1692430266.0754
MEM 32.691406 1692430266.1798
MEM 32.691406 1692430266.2808
MEM 32.691406 1692430266.3851
MEM 32.691406 1692430266.4888
MEM 32.691406 1692430266.5927
MEM 32.691406 1692430266.6967
MEM 32.691406 1692430266.7971
MEM 32.691406 1692430266.8976
MEM 32.691406 1692430267.0019
MEM 32.691406 1692430267.1041
MEM 32.691406 1692430267.2052
MEM 32.691406 1692430267.3058
MEM 32.691406 1692430267.4106
MEM 32.691406 1692430267.5130
MEM 32.691406 1692430267.6175
MEM 32.691406 1692430267.7208
MEM 32.691406 1692430267.8249
MEM 32.691406 1692430267.9281
MEM 32.691406 1692430268.0321
MEM 32.691406 1692430268.1352
MEM 32.691406 1692430268.2395
MEM 32.691406 1692430268.3449
MEM 32.691406 1692430268.4469
MEM 32.691406 1692430268.5524
MEM 32.691406 1692430268.6576
MEM 32.691406 1692430268.7612
MEM 32.691406 1692430268.8666
MEM 32.691406 1692430268.9719
MEM 32.691406 1692430269.0757
MEM 32.691406 1692430269.1811
MEM 32.691406 1692430269.2834
MEM 32.691406 1692430269.3888
MEM 32.691406 1692430269.4934
MEM 32.691406 1692430269.5988
